Regio's,Onderwerp,2012,2016,2020,2024
Beesel,Bevolking aan het einde van de periode,13688,13405,13450,13525
Bellingwedde,Bevolking aan het einde van de periode,8985,8919,,
Bemmel,Bevolking aan het einde van de periode,,,,
Bennebroek,Bevolking aan het einde van de periode,,,,
Berg en Dal,Bevolking aan het einde van de periode,,34764,35010,35556
Bergambacht,Bevolking aan het einde van de periode,9938,,,
Bergeijk,Bevolking aan het einde van de periode,18191,18342,18754,19260
Bergen (L.),Bevolking aan het einde van de periode,13275,13095,13108,13063
Bergen (NH.),Bevolking aan het einde van de periode,30333,29844,29715,29718
Bergen op Zoom,Bevolking aan het einde van de periode,66287,66164,67514,70216
Bergh,Bevolking aan het einde van de periode,,,,
Bergschenhoek,Bevolking aan het einde van de periode,,,,
Berkel en Rodenrijs,Bevolking aan het einde van de periode,,,,
Berkelland,Bevolking aan het einde van de periode,44769,44238,43846,43922
Bernheze,Bevolking aan het einde van de periode,29775,30252,31455,32618
Bernisse,Bevolking aan het einde van de periode,12398,,,
Best,Bevolking aan het einde van de periode,28637,29180,30216,31652
Beuningen,Bevolking aan het einde van de periode,25324,25424,26157,26742
Beverwijk,Bevolking aan het einde van de periode,40070,40709,41863,43005
het Bildt,Bevolking aan het einde van de periode,10646,10493,,
De Bilt,Bevolking aan het einde van de periode,42032,42754,43384,43794
Binnenmaas,Bevolking aan het einde van de periode,28964,29122,,
Bladel,Bevolking aan het einde van de periode,19635,20063,20529,21009
Blaricum,Bevolking aan het einde van de periode,9107,10201,11954,12951
Bleiswijk,Bevolking aan het einde van de periode,,,,
Bloemendaal,Bevolking aan het einde van de periode,22195,22826,23478,23583
Boarnsterhim,Bevolking aan het einde van de periode,19505,,,
Bodegraven,Bevolking aan het einde van de periode,,,,
Bodegraven-Reeuwijk,Bevolking aan het einde van de periode,32817,33733,35278,37220
Boekel,Bevolking aan het einde van de periode,10062,10414,10959,11461
Ten Boer,Bevolking aan het einde van de periode,7500,7288,,
Bolsward,Bevolking aan het einde van de periode,,,,
Borculo,Bevolking aan het einde van de periode,,,,
Borger-Odoorn,Bevolking aan het einde van de periode,25662,25355,25598,26052
Borne,Bevolking aan het einde van de periode,21770,22795,23668,24738
Borsele,Bevolking aan het einde van de periode,22683,22688,22818,23127
Boskoop,Bevolking aan het einde van de periode,15195,,,
Boxmeer,Bevolking aan het einde van de periode,28227,28709,29609,
Boxtel,Bevolking aan het einde van de periode,30436,30655,30824,34237
Breda,Bevolking aan het einde van de periode,178140,182304,184126,188834
Breukelen,Bevolking aan het einde van de periode,,,,
Brielle,Bevolking aan het einde van de periode,16320,16833,17439,
Bronckhorst,Bevolking aan het einde van de periode,37216,36410,36087,36007
Brummen,Bevolking aan het einde van de periode,21245,20843,20884,21394
Brunssum,Bevolking aan het einde van de periode,29081,28358,27670,27531
Bunnik,Bevolking aan het einde van de periode,14563,15156,15341,16281
Bunschoten,Bevolking aan het einde van de periode,20316,21020,22019,22690
Buren,Bevolking aan het einde van de periode,25939,26348,27009,27976
Bussum,Bevolking aan het einde van de periode,32631,,,
Capelle aan den IJssel,Bevolking aan het einde van de periode,66024,66421,67319,68673
Castricum,Bevolking aan het einde van de periode,34402,35216,36086,36616
Coevorden,Bevolking aan het einde van de periode,35765,35286,35317,35868
Cranendonck,Bevolking aan het einde van de periode,20330,20676,21001,21739
Cromstrijen,Bevolking aan het einde van de periode,12762,12797,,
Cuijk,Bevolking aan het einde van de periode,24743,24696,25404,
Culemborg,Bevolking aan het einde van de periode,27681,27864,29121,30293
Dalfsen,Bevolking aan het einde van de periode,27570,28070,28901,30051
Dantumadeel,Bevolking aan het einde van de periode,,,,
Dantumadiel,Bevolking aan het einde van de periode,19130,18942,18943,19138
Delft,Bevolking aan het einde van de periode,99097,101381,103581,110224
Delfzijl,Bevolking aan het einde van de periode,26025,24965,24596,
Denekamp,Bevolking aan het einde van de periode,,,,
Deurne,Bevolking aan het einde van de periode,31733,31933,32437,33388
Deventer,Bevolking aan het einde van de periode,98581,99295,101236,104301
Didam,Bevolking aan het einde van de periode,,,,
Diemen,Bevolking aan het einde van de periode,25218,27272,31334,33256
Dijk en Waard,Bevolking aan het einde van de periode,,,,90745
Dinkelland,Bevolking aan het einde van de periode,26056,26244,26606,26727
Dinxperlo,Bevolking aan het einde van de periode,,,,
Dirksland,Bevolking aan het einde van de periode,8526,,,
Doesburg,Bevolking aan het einde van de periode,11539,11341,11064,11120
Doetinchem,Bevolking aan het einde van de periode,56414,57068,58270,60051
Dongen,Bevolking aan het einde van de periode,25382,25509,26368,27565
Dongeradeel,Bevolking aan het einde van de periode,24221,23901,,
