Regio's,Onderwerp,2012,2016,2020,2024
Strijen,Bevolking aan het einde van de periode,8777,8785,,
Súdwest-Fryslân,Bevolking aan het einde van de periode,82639,84158,89999,90532
Susteren,Bevolking aan het einde van de periode,,,,
Swalmen,Bevolking aan het einde van de periode,,,,
Terneuzen,Bevolking aan het einde van de periode,54729,54588,54463,55663
Terschelling,Bevolking aan het einde van de periode,4795,4859,4870,4923
Texel,Bevolking aan het einde van de periode,13662,13545,13656,13844
Teylingen,Bevolking aan het einde van de periode,35800,36093,37791,38410
Tholen,Bevolking aan het einde van de periode,25514,25527,26085,26944
Thorn,Bevolking aan het einde van de periode,,,,
Tiel,Bevolking aan het einde van de periode,41751,41488,41920,42590
Tilburg,Bevolking aan het einde van de periode,208527,213804,220505,230359
Tubbergen,Bevolking aan het einde van de periode,21172,21153,21315,21508
Twenterand,Bevolking aan het einde van de periode,33971,33845,33699,34115
Tynaarlo,Bevolking aan het einde van de periode,32456,33280,33978,35013
Tytsjerksteradiel,Bevolking aan het einde van de periode,31979,31963,32060,32823
Ubbergen,Bevolking aan het einde van de periode,9504,,,
Uden,Bevolking aan het einde van de periode,40948,41384,42291,
Uitgeest,Bevolking aan het einde van de periode,13061,13465,13632,13423
Uithoorn,Bevolking aan het einde van de periode,28387,29201,30206,32117
Urk,Bevolking aan het einde van de periode,19225,20220,21227,22172
Utrecht (gemeente),Bevolking aan het einde van de periode,321916,343038,359370,376435
Utrechtse Heuvelrug,Bevolking aan het einde van de periode,48092,49035,49946,50941
Vaals,Bevolking aan het einde van de periode,9771,9710,10084,10015
Valkenburg (ZH.),Bevolking aan het einde van de periode,,,,
Valkenburg aan de Geul,Bevolking aan het einde van de periode,16814,16440,16365,16460
Valkenswaard,Bevolking aan het einde van de periode,30584,30516,31221,31958
Veendam,Bevolking aan het einde van de periode,27914,27527,27417,27688
Veenendaal,Bevolking aan het einde van de periode,63032,64277,66912,70339
Veere,Bevolking aan het einde van de periode,21903,21900,21953,21944
Veghel,Bevolking aan het einde van de periode,37437,38255,,
Veldhoven,Bevolking aan het einde van de periode,44092,44724,45500,47604
Velsen,Bevolking aan het einde van de periode,67122,67619,68617,70004
Venhuizen,Bevolking aan het einde van de periode,,,,
Venlo,Bevolking aan het einde van de periode,100159,101059,101988,103982
Venray,Bevolking aan het einde van de periode,43038,43565,43713,44810
Vianen,Bevolking aan het einde van de periode,19670,19714,,
Vijfheerenlanden,Bevolking aan het einde van de periode,,,57829,62554
Vlaardingen,Bevolking aan het einde van de periode,70905,71999,73924,77234
Vlagtwedde,Bevolking aan het einde van de periode,16132,15908,,
Vlieland,Bevolking aan het einde van de periode,1114,1085,1194,1212
Vlissingen,Bevolking aan het einde van de periode,44451,44394,44358,45768
Vlist,Bevolking aan het einde van de periode,9730,,,
Voerendaal,Bevolking aan het einde van de periode,12617,12462,12466,12583
Voorhout,Bevolking aan het einde van de periode,,,,
Voorne aan Zee,Bevolking aan het einde van de periode,,,,74544
Voorschoten,Bevolking aan het einde van de periode,24658,25315,25650,25914
Voorst,Bevolking aan het einde van de periode,23724,24199,24790,25567
Vorden,Bevolking aan het einde van de periode,,,,
Vriezenveen,Bevolking aan het einde van de periode,,,,
Vught,Bevolking aan het einde van de periode,25564,26183,26766,33024
Waadhoeke,Bevolking aan het einde van de periode,,,46149,46865
Waalre,Bevolking aan het einde van de periode,16725,16898,17544,17894
Waalwijk,Bevolking aan het einde van de periode,46438,47410,48815,51238
Waddinxveen,Bevolking aan het einde van de periode,25217,26536,30479,35043
Wageningen,Bevolking aan het einde van de periode,37408,38458,39635,42802
Warmond,Bevolking aan het einde van de periode,,,,
Warnsveld,Bevolking aan het einde van de periode,,,,
Wassenaar,Bevolking aan het einde van de periode,25656,26055,26949,27534
Wateringen,Bevolking aan het einde van de periode,,,,
Waterland,Bevolking aan het einde van de periode,17091,17290,17312,17547
Weert,Bevolking aan het einde van de periode,48587,49574,50011,51378
Weesp,Bevolking aan het einde van de periode,18151,18751,20445,
Wehl,Bevolking aan het einde van de periode,,,,
Werkendam,Bevolking aan het einde van de periode,26405,26844,,
Wervershoof,Bevolking aan het einde van de periode,,,,
West Betuwe,Bevolking aan het einde van de periode,,,51496,53263
West Maas en Waal,Bevolking aan het einde van de periode,18410,18820,19581,20601
Wester-Koggenland,Bevolking aan het einde van de periode,,,,
Westerkwartier,Bevolking aan het einde van de periode,,,63678,64834
Westerveld,Bevolking aan het einde van de periode,19091,19084,19661,19987
Westervoort,Bevolking aan het einde van de periode,15199,14991,15014,15202
Westerwolde,Bevolking aan het einde van de periode,,,26215,27464
Westland,Bevolking aan het einde van de periode,102698,105632,111382,116897
Weststellingwerf,Bevolking aan het einde van de periode,25595,25608,26130,26595
Westvoorne,Bevolking aan het einde van de periode,13890,14257,14900,
Wierden,Bevolking aan het einde van de periode,23807,24225,24538,25349
Wieringen,Bevolking aan het einde van de periode,,,,
Wieringermeer,Bevolking aan het einde van de periode,,,,
Wijchen,Bevolking aan het einde van de periode,41004,40876,41261,41833
Wijdemeren,Bevolking aan het einde van de periode,23221,23447,24463,24662
Wijk bij Duurstede,Bevolking aan het einde van de periode,23035,23502,23925,23826
Winschoten,Bevolking aan het einde van de periode,,,,
Winsum,Bevolking aan het einde van de periode,13906,13596,,
Winterswijk,Bevolking aan het einde van de periode,28967,28912,29022,29217
Wisch,Bevolking aan het einde van de periode,,,,
Woensdrecht,Bevolking aan het einde van de periode,21648,21837,22028,22194
Woerden,Bevolking aan het einde van de periode,50346,51513,52694,53974
Wognum,Bevolking aan het einde van de periode,,,,
De Wolden,Bevolking aan het einde van de periode,23761,23744,24374,24665
Wormerland,Bevolking aan het einde van de periode,15740,15820,16333,16421
Woudenberg,Bevolking aan het einde van de periode,12321,12701,13639,14764
Woudrichem,Bevolking aan het einde van de periode,14443,14539,,
Wûnseradiel,Bevolking aan het einde van de periode,,,,
Wymbritseradiel,Bevolking aan het einde van de periode,,,,
Zaanstad,Bevolking aan het einde van de periode,149622,153679,156901,162784
Zaltbommel,Bevolking aan het einde van de periode,26953,27728,29447,30396
Zandvoort,Bevolking aan het einde van de periode,16593,16899,17168,17370
Zederik,Bevolking aan het einde van de periode,13538,13842,,
Zeevang,Bevolking aan het einde van de periode,6317,,,
Zeewolde,Bevolking aan het einde van de periode,21262,22457,22879,24296
Zeist,Bevolking aan het einde van de periode,61420,62830,65043,66740
Zelhem,Bevolking aan het einde van de periode,,,,
Zevenaar,Bevolking aan het einde van de periode,32405,32379,44096,45212
Zevenhuizen-Moerkapelle,Bevolking aan het einde van de periode,,,,
Zijpe,Bevolking aan het einde van de periode,11519,,,
Zoetermeer,Bevolking aan het einde van de periode,123092,124763,125267,129941
Zoeterwoude,Bevolking aan het einde van de periode,8122,8367,8843,10142
Zuidhorn,Bevolking aan het einde van de periode,18699,18859,,
Zuidplas,Bevolking aan het einde van de periode,40779,41468,45064,48705
Zundert,Bevolking aan het einde van de periode,21241,21657,21988,22804
Zutphen,Bevolking aan het einde van de periode,47240,47340,48111,49038
Zwartewaterland,Bevolking aan het einde van de periode,22139,22309,22823,23510
Zwijndrecht,Bevolking aan het einde van de periode,44610,44417,44775,44680
Zwolle,Bevolking aan het einde van de periode,122562,125548,129840,133830
Bron: CBS,,,,,
