Regio's,Perioden,Beginstand voorraad,Nieuwbouw,Eindstand voorraad
Asten,2016,6717,50,6768
Asten,2020,6899,132,7069
Asten,2024,7335,89,7436
Baarle-Nassau,2012,2681,25,2706
Baarle-Nassau,2016,2746,27,2770
Baarle-Nassau,2020,2875,36,2916
Baarle-Nassau,2024,3012,33,3086
Baarn,2012,11071,169,11228
Baarn,2016,11586,94,11676
Baarn,2020,11679,11,11700
Baarn,2024,11923,15,11947
Barendrecht,2012,18421,116,18760
Barendrecht,2016,18918,192,19131
Barendrecht,2020,19416,45,19433
Barendrecht,2024,19697,46,19676
Barneveld,2012,19699,74,19835
Barneveld,2016,20938,380,21330
Barneveld,2020,22799,338,23146
Barneveld,2024,24148,296,24446
Bedum,2012,4424,0,4464
Bedum,2016,4570,57,4569
Bedum,2020,,,
Bedum,2024,,,
Beek (L.),2012,7360,5,7373
Beek (L.),2016,7415,2,7410
Beek (L.),2020,7488,2,7496
Beek (L.),2024,7550,27,7581
Beekdaelen,2012,,,
Beekdaelen,2016,,,
Beekdaelen,2020,16635,76,16711
Beekdaelen,2024,16822,169,16915
Beemster,2012,3422,9,3432
Beemster,2016,3657,143,3790
Beemster,2020,4036,19,4051
Beemster,2024,,,
Beesel,2012,5939,19,5925
Beesel,2016,5882,7,5888
Beesel,2020,5965,78,6040
Beesel,2024,6107,112,6218
Bellingwedde,2012,4168,8,4136
Bellingwedde,2016,4116,0,4117
Bellingwedde,2020,,,
Bellingwedde,2024,,,
Berg en Dal,2012,,,
Berg en Dal,2016,15282,90,15397
Berg en Dal,2020,15802,64,15854
Berg en Dal,2024,16278,76,16345
Bergambacht,2012,3942,39,4019
Bergambacht,2016,,,
Bergambacht,2020,,,
Bergambacht,2024,,,
Bergeijk,2012,7456,111,7573
Bergeijk,2016,7742,29,7770
Bergeijk,2020,7970,54,8027
Bergeijk,2024,8343,90,8431
Bergen (L.),2012,5480,0,5497
Bergen (L.),2016,5619,35,5669
Bergen (L.),2020,5760,37,5793
Bergen (L.),2024,5867,13,5887
Bergen (NH.),2012,14658,4,14635
Bergen (NH.),2016,14976,45,14992
Bergen (NH.),2020,15344,23,15353
Bergen (NH.),2024,15491,60,15550
Bergen op Zoom,2012,29604,123,29739
Bergen op Zoom,2016,29738,260,29916
Bergen op Zoom,2020,30884,112,30921
Bergen op Zoom,2024,32087,216,32056
Berkelland,2012,18879,181,19205
Berkelland,2016,19466,46,19458
Berkelland,2020,19525,100,19594
Berkelland,2024,19930,102,20015
Bernheze,2012,11307,47,11368
Bernheze,2016,12044,71,12059
Bernheze,2020,12714,101,12798
Bernheze,2024,13436,245,13658
Bernisse,2012,5378,22,5499
Bernisse,2016,,,
Bernisse,2020,,,
Bernisse,2024,,,
Best,2012,11703,90,11769
Best,2016,12031,189,12326
Best,2020,12698,276,12977
Best,2024,13461,185,13650
Beuningen,2012,10374,29,10365
Beuningen,2016,10667,159,10829
Beuningen,2020,11137,103,11262
Beuningen,2024,11526,22,11556
Beverwijk,2012,18325,136,18483
Beverwijk,2016,18846,312,19106
Beverwijk,2020,19403,81,19511
Beverwijk,2024,20015,143,20154
het Bildt,2012,4539,0,4496
het Bildt,2016,4696,21,4697
het Bildt,2020,,,
het Bildt,2024,,,
De Bilt,2012,19274,20,19363
De Bilt,2016,19260,99,19375
De Bilt,2020,19577,130,19738
De Bilt,2024,19906,72,20000
Binnenmaas,2012,12428,70,12477
Binnenmaas,2016,12608,124,12722
Binnenmaas,2020,,,
Binnenmaas,2024,,,
Bladel,2012,8061,49,8076
Bladel,2016,8417,58,8486
Bladel,2020,8746,74,8841
Bladel,2024,9170,33,9228
Blaricum,2012,3888,66,4078
Blaricum,2016,4363,279,4639
Blaricum,2020,5075,107,5175
Blaricum,2024,5375,5,5380
Bloemendaal,2012,9439,45,9513
Bloemendaal,2016,9653,73,9727
Bloemendaal,2020,10034,121,10166
Bloemendaal,2024,10376,12,10389
Boarnsterhim,2012,8376,60,8455
Boarnsterhim,2016,,,
Boarnsterhim,2020,,,
Boarnsterhim,2024,,,
Bodegraven-Reeuwijk,2012,13441,82,13699
Bodegraven-Reeuwijk,2016,14008,102,14090
Bodegraven-Reeuwijk,2020,14499,176,14676
Bodegraven-Reeuwijk,2024,15181,86,15273
Boekel,2012,3670,84,3807
Boekel,2016,3975,73,4034
Boekel,2020,4248,150,4397
Boekel,2024,4615,74,4671
Ten Boer,2012,2959,3,2964
Ten Boer,2016,3017,23,3045
Ten Boer,2020,,,
Ten Boer,2024,,,
Borger-Odoorn,2012,11644,17,11619
Borger-Odoorn,2016,11714,2,11572
Borger-Odoorn,2020,11374,46,11224
Borger-Odoorn,2024,11537,98,11628
Borne,2012,8951,90,9078
Borne,2016,9316,202,9537
Borne,2020,9954,132,10105
Borne,2024,10468,66,10535
Borsele,2012,9543,127,9641
Borsele,2016,9687,75,9735
Borsele,2020,9821,74,9850
Borsele,2024,10099,25,10120
Boskoop,2012,6168,110,6276
Boskoop,2016,,,
Boskoop,2020,,,
Boskoop,2024,,,
Boxmeer,2012,11441,51,11528
Boxmeer,2016,11896,147,12044
Boxmeer,2020,12568,165,12740
Boxmeer,2024,,,
Boxtel,2012,12729,114,12934
Boxtel,2016,13296,27,13308
Boxtel,2020,13401,38,13461
Boxtel,2024,14818,199,15042
Breda,2012,77017,733,78852
Breda,2016,81649,468,82231
Breda,2020,84567,625,85230
Breda,2024,87800,300,88201
Brielle,2012,7157,195,7478
Brielle,2016,7683,68,7798
Brielle,2020,8029,76,8110
Brielle,2024,,,
Bronckhorst,2012,15566,46,15600
Bronckhorst,2016,16117,53,16063
Bronckhorst,2020,16198,76,16213
Bronckhorst,2024,16453,48,16499
Brummen,2012,9039,41,9080
Brummen,2016,9260,14,9249
Brummen,2020,9348,80,9416
Brummen,2024,9799,67,9871
Brunssum,2012,14255,76,14355
Brunssum,2016,14511,10,14464
Brunssum,2020,14493,114,14464
Brunssum,2024,14510,12,14527
Bunnik,2012,5940,136,6082
